BPSno,OccurredDate,OfficerAge,OfficerYearsEmployed,OfficerAssignment,CitizenAge,CitizenRace,CitizenSex,OfficerRace,OfficerSex,ReportNumber,ReceivedDate,Month,Year,OfficerDivision,CitizenInjury,ForceEffective,Active Resistance,Physical Aggression,Non Compliance,Deadly Weapon,Assault,Fleeing,Passive Resistance,Not Noted,OfficerInjury,ForceType
UOF19-039,2019-01-19,20-29,6-10 yrs,South County Precinct,11-19,Bosnian,Male,White,Male,19-3199,2019-01-19,1,2019,Patrol,No injuries noted or visible,Yes,0,1,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF19-039,2019-01-19,30-39,6-10 yrs,South County Precinct,11-19,Bosnian,Male,White,Male,19-3199,2019-01-19,1,2019,Patrol,No injuries noted or visible,Yes,0,1,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF19-125,2019-02-13,30-39,6-10 yrs,Special Response Unit,11-19,Black,Male,White,Male,19-7562,2019-02-13,2,2019,Special Operations,Minor Injury,Yes,0,1,0,0,0,0,0,0,No injuries noted or visible,Physical (Striking)
UOF19-106,2019-03-23,40-49,6-10 yrs,South County Precinct,11-19,White,Male,White,Male,19-13643,2019-03-23,3,2019,Patrol,No injuries noted or visible,Yes,1,0,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF19-132,2019-03-27,30-39,6-10 yrs,Canine Unit,11-19,Black,Male,White,Male,19-14454,2019-03-27,3,2019,Special Operations,No injuries noted or visible,Yes,0,0,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF19-120,2019-03-28,30-39,6-10 yrs,City Of Jennings Precinct,11-19,Black,Male,White,Male,19-14643,2019-03-28,3,2019,Patrol,No injuries noted or visible,No,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical (Striking)
UOF19-120,2019-03-28,30-39,6-10 yrs,City Of Jennings Precinct,11-19,Black,Male,White,Male,19-14643,2019-03-28,3,2019,Patrol,No injuries noted or visible,No,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical (Striking)
UOF19-120,2019-03-28,30-39,6-10 yrs,City Of Jennings Precinct,11-19,Black,Male,White,Male,19-14643,2019-03-28,3,2019,Patrol,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Taser
UOF19-120,2019-03-28,30-39,6-10 yrs,City Of Jennings Precinct,11-19,Black,Male,White,Male,19-14643,2019-03-28,3,2019,Patrol,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF19-115,2019-04-06,30-39,6-10 yrs,Bureau Of Transit Police,11-19,Black,Male,White,Male,19-16130,2019-04-06,4,2019,Special Operations,No injuries noted or visible,No,0,0,0,0,1,0,0,0,Minor,Taser
UOF19-115,2019-04-06,30-39,6-10 yrs,Bureau Of Transit Police,11-19,Black,Male,White,Male,19-16130,2019-04-06,4,2019,Special Operations,No injuries noted or visible,No,0,0,0,0,1,0,0,0,Minor,Taser
UOF19-111,2019-04-10,30-39,6-10 yrs,North County Precinct,11-19,Black,Female,White,Male,19-16748,2019-04-10,4,2019,Patrol,No injuries noted or visible,Yes,0,1,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF19-117,2019-01-03,20-29,6-10 yrs,Canine Unit,11-19,Black,Male,White,Male,19-404,2019-04-17,4,2019,Special Operations,K-9 bite wound,Yes,1,0,0,0,0,1,1,0,No injuries noted or visible,Canine
UOF19-117,2019-01-03,20-29,6-10 yrs,Canine Unit,11-19,Black,Male,White,Male,19-404,2019-04-17,4,2019,Special Operations,Minor Injury,Yes,1,0,0,0,0,1,1,0,No injuries noted or visible,Canine
UOF19-133,2019-05-03,30-39,6-10 yrs,North County Precinct,11-19,Black,Male,White,Male,19-20677,2019-05-03,5,2019,Patrol,No injuries noted or visible,Yes,1,1,1,0,1,0,1,0,No injuries noted or visible,Taser
UOF19-160,2019-05-16,40-49,6-10 yrs,North County Precinct,11-19,Black,Male,White,Male,19-23044,2019-05-16,5,2019,Patrol,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF19-160,2019-05-16,40-49,6-10 yrs,North County Precinct,11-19,Black,Male,White,Male,19-23044,2019-05-16,5,2019,Patrol,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Taser
UOF19-215,2019-08-17,20-29,6-10 yrs,Canine Unit,11-19,Black,Male,White,Male,19-38900,2019-08-17,8,2019,Special Operations,K-9 bite wound,Yes,1,0,1,0,0,1,0,0,No injuries noted or visible,Canine
UOF20-0030,2019-08-25,30-39,6-10 yrs,City Of Jennings Precinct,11-19,Black,Male,White,Male,19-45611,2019-08-25,8,2019,Patrol,No injuries noted or visible,Yes,0,0,1,1,0,1,1,0,No injuries noted or visible,Taser
UOF20-0037,2019-10-13,30-39,6-10 yrs,Drug Enforcement,11-19,Black,Male,White,Male,19-43328,2019-09-12,9,2019,Criminal Investigation,No injuries noted or visible,Yes,1,0,0,0,1,0,0,0,Not Specified,Physical Restraint
UOF20-0099,2019-10-23,30-39,6-10 yrs,Special Response Unit,11-19,Black,Male,Black,Male,19-50233,2019-10-23,10,2019,Special Operations,No injuries noted or visible,Yes,1,0,1,0,0,1,0,0,No injuries noted or visible,Physical (Striking)
UOF20-0099,2019-10-23,30-39,6-10 yrs,Special Response Unit,11-19,Black,Male,Black,Male,19-50233,2019-10-23,10,2019,Special Operations,No injuries noted or visible,Yes,1,0,1,0,0,1,0,0,No injuries noted or visible,Physical (Striking)
UOF20-0072,2020-01-21,30-39,6-10 yrs,Burglary Unit,11-19,Black,Male,White,Male,20-1115,2020-01-21,1,2020,Criminal Investigation,No injuries noted or visible,Yes,0,1,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0076,2020-01-28,30-39,6-10 yrs,City Of Jennings Precinct,11-19,Black,Male,White,Male,20-4717,2020-02-03,2,2020,Patrol,Minor Injury,Yes,0,0,0,0,0,1,0,0,No injuries noted or visible,Taser
UOF20-0135,2020-03-13,20-29,6-10 yrs,Canine Unit,11-19,Black,Male,White,Male,20-12266,2020-03-13,3,2020,Special Operations,K-9 bite wound,Yes,1,0,1,0,0,1,0,0,No injuries noted or visible,Canine
UOF20-0125,2020-04-19,30-39,6-10 yrs,Affton Southwest Precinct,11-19,White,Male,White,Male,20-15900,2020-04-19,4,2020,Patrol,No injuries noted or visible,Yes,0,0,0,0,0,0,1,0,No injuries noted or visible,Physical Restraint
UOF20-0148,2020-05-12,30-39,6-10 yrs,Highway Safety Unit,11-19,White,Male,White,Male,20-018132,2020-05-12,5,2020,Special Operations,Minor Injury,No,0,1,1,0,1,0,1,0,No injuries noted or visible,Physical Restraint
UOF20-0148,2020-05-12,30-39,6-10 yrs,Highway Safety Unit,11-19,White,Male,White,Male,20-018132,2020-05-12,5,2020,Special Operations,Minor Injury,Yes,0,1,1,0,1,0,1,0,No injuries noted or visible,Pepper Spray
UOF20-0148,2020-05-12,30-39,6-10 yrs,Highway Safety Unit,11-19,White,Male,White,Male,20-018132,2020-05-12,5,2020,Special Operations,Minor Injury,No,0,1,1,0,1,0,1,0,Minor,Physical Restraint
UOF20-0195,2020-07-02,30-39,6-10 yrs,North County Precinct,11-19,Black,Female,White,Male,20-24690,2020-07-02,7,2020,Patrol,No injuries noted or visible,Yes,1,0,1,0,0,0,1,0,No injuries noted or visible,Physical Restraint
UOF20-0195,2020-07-02,30-39,6-10 yrs,North County Precinct,11-19,Black,Female,Black,Female,20-24690,2020-07-02,7,2020,Patrol,No injuries noted or visible,Yes,1,0,1,0,0,0,1,0,No injuries noted or visible,Physical Restraint
UOF20-0186,2020-07-12,30-39,6-10 yrs,Bureau Of Transit Police,11-19,Black,Male,White,Male,20-26075,2020-07-12,7,2020,Special Operations,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0199,2020-07-24,30-39,6-10 yrs,Bureau Of Transit Police,11-19,Black,Male,White,Male,20-27691,2020-07-24,7,2020,Special Operations,No injuries noted or visible,Yes,1,0,0,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0218,2020-08-17,30-39,6-10 yrs,North County Precinct,11-19,Black,Female,White,Male,20-30911,2020-08-17,8,2020,Patrol,No injuries noted or visible,Yes,0,0,0,0,0,0,0,1,No injuries noted or visible,Physical Restraint
UOF20-0245,2020-08-30,40-49,6-10 yrs,North County Precinct,11-19,Black,Female,White,Male,20-32770,2020-08-30,8,2020,Patrol,No injuries noted or visible,Yes,1,1,0,0,0,0,0,0,No injuries noted or visible,Pepper Spray
UOF20-0245,2020-08-30,40-49,6-10 yrs,North County Precinct,11-19,Black,Female,White,Male,20-32770,2020-08-30,8,2020,Patrol,No injuries noted or visible,Yes,1,1,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0260,2020-09-24,20-29,6-10 yrs,Canine Unit,11-19,Black,Male,White,Male,20-036158,2020-09-24,9,2020,Special Operations,K-9 bite wound,Yes,0,0,0,0,0,1,0,0,No injuries noted or visible,Canine
UOF20-0258,2020-10-07,30-39,6-10 yrs,North County Precinct,11-19,Black,Male,White,Male,20-37952,2020-10-07,10,2020,Patrol,No injuries noted or visible,No,1,0,0,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF20-0258,2020-10-07,30-39,6-10 yrs,North County Precinct,11-19,Black,Male,White,Male,20-37952,2020-10-07,10,2020,Patrol,No injuries noted or visible,Yes,1,0,0,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF20-0258,2020-10-07,30-39,6-10 yrs,North County Precinct,11-19,Black,Male,White,Male,20-37952,2020-10-07,10,2020,Patrol,No injuries noted or visible,Yes,1,0,0,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF20-0262,2020-10-07,30-39,6-10 yrs,Drug Enforcement,11-19,Black,Male,White,Male,20-37941,2020-10-07,10,2020,Criminal Investigation,Minor Injury,Yes,0,1,0,0,0,0,0,0,No injuries noted or visible,Physical (Striking)
UOF21-0021,2020-11-14,30-39,6-10 yrs,City Of Jennings Precinct,11-19,Black,Male,White,Male,20-43393,2020-11-16,11,2020,Patrol,Minor Injury,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF21-0021,2020-11-14,40-49,6-10 yrs,City Of Jennings Precinct,11-19,Black,Male,White,Male,20-43393,2020-11-16,11,2020,Patrol,Minor Injury,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF21-0033,2021-01-04,30-39,6-10 yrs,Canine Unit,11-19,Black,Male,White,Male,21-000463,2021-01-04,1,2021,Special Operations,K-9 bite wound,No,1,0,0,0,1,1,0,0,No injuries noted or visible,Taser
UOF21-0033,2021-01-04,30-39,6-10 yrs,Canine Unit,11-19,Black,Male,White,Male,21-000463,2021-01-04,1,2021,Special Operations,K-9 bite wound,Yes,1,0,0,0,1,1,0,0,No injuries noted or visible,Canine
UOF21-0034,2021-01-04,30-39,6-10 yrs,Canine Unit,11-19,Black,Female,White,Male,21-000463,2021-01-04,1,2021,Special Operations,K-9 bite wound,No,1,1,1,0,1,1,0,0,No injuries noted or visible,Taser
UOF21-0034,2021-01-04,30-39,6-10 yrs,Canine Unit,11-19,Black,Female,White,Male,21-000463,2021-01-04,1,2021,Special Operations,K-9 bite wound,Yes,1,1,1,0,1,1,0,0,No injuries noted or visible,Canine
UOF21-0034,2021-01-04,30-39,6-10 yrs,Canine Unit,11-19,Black,Female,White,Male,21-000463,2021-01-04,1,2021,Special Operations,Minor Injury,No,1,1,1,0,1,1,0,0,No injuries noted or visible,Taser
UOF21-0034,2021-01-04,30-39,6-10 yrs,Canine Unit,11-19,Black,Female,White,Male,21-000463,2021-01-04,1,2021,Special Operations,Minor Injury,Yes,1,1,1,0,1,1,0,0,No injuries noted or visible,Canine
UOF21-0051,2021-02-01,20-29,6-10 yrs,Police Canine Unit,11-19,Black,Male,White,Male,21-004145,2021-02-01,2,2021,Special Operations,K-9 bite wound,Yes,0,0,0,0,0,1,0,0,No injuries noted or visible,Canine
UOF21-0051,2021-02-01,20-29,6-10 yrs,Police Canine Unit,11-19,Black,Male,White,Male,21-004145,2021-02-01,2,2021,Special Operations,Minor Injury,Yes,0,0,0,0,0,1,0,0,No injuries noted or visible,Canine
UOF21-0036,2021-02-16,30-39,6-10 yrs,Central County Precinct,11-19,White,Male,Hispanic,Male,21-6142,2021-02-16,2,2021,Patrol,No injuries noted or visible,Yes,1,0,1,0,0,0,1,0,No injuries noted or visible,Physical Restraint
UOF18-216,2018-05-03,30-39,11-15 yrs,Intelligence Unit,11-19,Black,Male,White,Male,18-21511,2018-05-03,5,2018,Chief's Office,Minor Injury,Yes,1,1,0,0,0,0,0,0,No injuries noted or visible,Physical (Striking)
UOF19-043,2018-10-15,40-49,11-15 yrs,Drug Enforcement,11-19,Black,Male,White,Male,18-52411,2018-10-15,10,2018,Criminal Investigation,Minor Injury,Yes,1,0,0,0,0,1,0,0,No injuries noted or visible,Physical (Striking)
UOF18-288,2018-11-17,40-49,11-15 yrs,West County Precinct,11-19,White,Male,White,Male,18-058209,2018-11-17,11,2018,Patrol,Minor Injury,Yes,0,1,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF19-023,2018-12-27,30-39,11-15 yrs,Special Response Unit,11-19,Black,Male,White,Male,18-65032,2019-01-02,1,2019,Special Operations,Minor Injury,No,1,1,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF19-239,2019-03-26,40-49,11-15 yrs,West County Precinct,11-19,White,Male,White,Male,19-14254,2019-03-26,3,2019,Patrol,No injuries noted or visible,Yes,0,0,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF19-098,2019-04-04,30-39,11-15 yrs,Affton Southwest Precinct,11-19,Hispanic,Female,White,Male,19-15695,2019-04-04,4,2019,Patrol,No injuries noted or visible,Yes,0,0,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0056,2019-10-30,30-39,11-15 yrs,North County Precinct,11-19,Black,Female,White,Male,19-51404,2019-10-30,10,2019,Patrol,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0014,2019-11-13,40-49,11-15 yrs,City Of Wildwood Precinct,11-19,Black,Male,White,Male,19-53732,2019-11-13,11,2019,Patrol,No injuries noted or visible,No,1,1,0,0,1,0,0,0,Not Specified,Physical Restraint
UOF20-0014,2019-11-13,40-49,11-15 yrs,City Of Wildwood Precinct,11-19,Black,Male,White,Male,19-53732,2019-11-13,11,2019,Patrol,No injuries noted or visible,Yes,1,1,0,0,1,0,0,0,Not Specified,Other
UOF20-0014,2019-11-13,40-49,11-15 yrs,City Of Wildwood Precinct,11-19,Black,Male,White,Male,19-53732,2019-11-13,11,2019,Patrol,No injuries noted or visible,Yes,1,1,0,0,1,0,0,0,Not Specified,Physical Restraint
UOF20-0072,2020-01-21,30-39,11-15 yrs,Burglary Unit,11-19,Black,Male,White,Male,20-1115,2020-01-21,1,2020,Criminal Investigation,No injuries noted or visible,Yes,0,1,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0148,2020-05-12,40-49,11-15 yrs,Highway Safety Unit,11-19,White,Male,White,Male,20-018132,2020-05-12,5,2020,Special Operations,Minor Injury,Yes,0,1,1,0,1,0,1,0,No injuries noted or visible,Physical Restraint
UOF20-0181,2020-06-04,40-49,11-15 yrs,Affton Southwest Precinct,11-19,Black,Male,White,Male,20-20898,2020-06-04,6,2020,Patrol,No injuries noted or visible,Yes,0,0,1,0,0,1,0,0,No injuries noted or visible,Taser
UOF20-0277,2020-07-08,30-39,11-15 yrs,Drug Enforcement,11-19,Black,Male,White,Male,20-25479,2020-07-08,7,2020,Criminal Investigation,No injuries noted or visible,Yes,0,0,0,1,0,1,0,0,No injuries noted or visible,Firearm
UOF20-0278,2020-07-08,40-49,11-15 yrs,Drug Enforcement,11-19,Black,Male,White,Male,20-25479,2020-07-08,7,2020,Criminal Investigation,No injuries noted or visible,Yes,0,0,0,1,0,0,0,0,No injuries noted or visible,Other
UOF20-0279,2020-07-08,40-49,11-15 yrs,Drug Enforcement,11-19,Black,Male,White,Male,20-25479,2020-07-08,7,2020,Criminal Investigation,No injuries noted or visible,Yes,0,0,0,1,0,0,0,0,No injuries noted or visible,Other
UOF20-0215,2020-08-15,40-49,11-15 yrs,Affton Southwest Precinct,11-19,White,Male,White,Male,20-30609,2020-08-15,8,2020,Patrol,Minor Injury,Yes,1,0,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0232,2020-08-15,30-39,11-15 yrs,Affton Southwest Precinct,11-19,White,Male,White,Male,20-30609,2020-08-15,8,2020,Patrol,No injuries noted or visible,Yes,1,0,0,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF20-0257,2020-10-04,30-39,11-15 yrs,North County Precinct,11-19,Black,Female,White,Male,20-37552,2020-10-04,10,2020,Patrol,No injuries noted or visible,Yes,1,1,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0269,2020-10-28,30-39,11-15 yrs,West County Precinct,11-19,White,Male,White,Male,20-40980,2020-10-28,10,2020,Patrol,No injuries noted or visible,Yes,0,0,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF21-0004,2020-11-17,40-49,11-15 yrs,West County Precinct,11-19,White,Male,White,Male,20-43811,2020-11-17,11,2020,Patrol,No injuries noted or visible,Yes,0,1,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF21-0069,2021-03-23,30-39,11-15 yrs,West County Precinct,11-19,White,Female,White,Male,21-10741,2021-03-23,3,2021,Patrol,No injuries noted or visible,Yes,1,1,1,0,1,0,1,0,No injuries noted or visible,Other
UOF21-0069,2021-03-23,30-39,11-15 yrs,West County Precinct,11-19,White,Female,White,Male,21-10741,2021-03-23,3,2021,Patrol,No injuries noted or visible,Yes,1,1,1,0,1,0,1,0,No injuries noted or visible,Physical Restraint
UOF18-036,2016-10-24,20-29,0-5 yrs,Staff Services,11-19,Black,Male,White,Male,16-54134,2018-01-09,1,2018,Operational Support,Fatal,Yes,0,0,0,1,0,0,0,0,No injuries noted or visible,Firearm
UOF18-049,2018-01-15,20-29,0-5 yrs,South County Precinct,11-19,White,Male,White,Male,18-2606,2018-01-15,1,2018,Patrol,No injuries noted or visible,Yes,1,1,0,0,0,0,0,0,No injuries noted or visible,Pepper Spray
UOF18-073,2018-01-19,20-29,0-5 yrs,Affton Southwest Precinct,11-19,White,Female,White,Male,18-3311,2018-01-19,1,2018,Patrol,No injuries noted or visible,Yes,1,0,1,0,1,0,0,0,No injuries noted or visible,Physical (Striking)
UOF18-076,2018-01-27,30-39,0-5 yrs,North County Precinct,11-19,Black,Male,White,Male,18-5037,2018-01-27,1,2018,Patrol,No injuries noted or visible,No,1,0,0,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-083,2018-02-12,30-39,0-5 yrs,North County Precinct,11-19,Black,Male,White,Male,18-7785,2018-02-12,2,2018,Patrol,Minor Injury,Yes,1,1,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-083,2018-02-12,30-39,0-5 yrs,North County Precinct,11-19,Black,Male,White,Male,18-7785,2018-02-12,2,2018,Patrol,Minor Injury,Yes,1,1,1,0,0,0,0,0,Minor,Physical Restraint
UOF18-083,2018-02-12,20-29,0-5 yrs,North County Precinct,11-19,Black,Male,White,Male,18-7785,2018-02-12,2,2018,Patrol,Minor Injury,Yes,1,1,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-109,2018-03-12,30-39,0-5 yrs,Bureau Of Transit Police,11-19,Black,Male,White,Male,18-12757,2018-03-12,3,2018,Special Operations,No injuries noted or visible,Yes,1,0,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-109,2018-03-12,30-39,0-5 yrs,Bureau Of Transit Police,11-19,Black,Male,White,Male,18-12757,2018-03-12,3,2018,Special Operations,No injuries noted or visible,Yes,1,0,1,0,0,0,0,0,No injuries noted or visible,Physical (Striking)
UOF18-107,2018-03-16,30-39,0-5 yrs,North County Precinct,11-19,Black,Male,White,Female,18-13543,2018-03-16,3,2018,Patrol,No injuries noted or visible,No,1,1,1,0,1,1,0,0,No injuries noted or visible,Taser
UOF18-114,2018-03-25,30-39,0-5 yrs,North County Precinct,11-19,Black,Male,White,Male,18-14991,2018-03-25,3,2018,Patrol,No injuries noted or visible,Yes,1,0,1,0,0,1,0,0,No injuries noted or visible,Taser
UOF18-114,2018-03-25,20-29,0-5 yrs,North County Precinct,11-19,Black,Male,White,Male,18-14991,2018-03-25,3,2018,Patrol,No injuries noted or visible,No,1,0,1,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF18-112,2018-04-09,40-49,0-5 yrs,North County Precinct,11-19,Black,Female,Black,Male,18-17843,2018-04-09,4,2018,Patrol,No injuries noted or visible,Not Specified,1,0,0,0,1,0,0,0,No injuries noted or visible,Not Specified
UOF18-112,2018-04-09,20-29,0-5 yrs,North County Precinct,11-19,Black,Female,White,Male,18-17843,2018-04-09,4,2018,Patrol,No injuries noted or visible,Not Specified,1,0,0,0,1,0,0,0,Not Specified,Not Specified
