_id,IdentificationNumber,Department,Status,DateReported,Date Closed,Category1,Category2,Category3,Category4
377,2019-0148,Milwaukee Police Department,Closed,07/16/2019,8/20/2019,"Competence, 1.04",Unjustified traffic stop,,
378,2019-0149,Milwaukee Police Department,Closed,07/24/2019,8/20/2019,"Integrity, 3.03","Respect, 5.02",Race/Ethnicity based field interview,
379,2019-0150,Milwaukee Police Department,Closed,08/05/2019,10/14/2019,"Integrity, 3.03",Unjustified search,,
380,2019-0151,Milwaukee Police Department,Closed,09/09/2019,6/4/2020,"Integrity, 3.03",Unjustified search,,
381,2019-0152,Milwaukee Police Department,Closed,07/17/2019,1/15/2020,"Integrity, 3.01",,,
382,2019-0153,NON EMPLOYEE,Closed,07/03/2019,7/12/2019,"Competence, 1.03",,,
383,2019-0154,Milwaukee Police Department,Closed,07/01/2019,7/22/2019,"Integrity, 3.05",,,
384,2019-0155,Milwaukee Police Department,Closed,07/04/2019,8/7/2019,"Competence, 1.05","Respect, 5.01 ",,
385,2019-0156,Milwaukee Police Department,Closed,07/05/2019,11/19/2019,"Competence, 1.04",,,
386,2019-0157,Milwaukee Police Department,Closed,07/05/2019,7/15/2019,"Respect, 5.02",,,
387,2019-0158,Milwaukee Police Department,Closed,06/25/2019,7/29/2019,"Integrity, 3.04 ",,,
388,2019-0159,Milwaukee Police Department,Closed,07/10/2019,9/3/2019,"Respect, 5.01",,,
389,2019-0160,Milwaukee Police Department,Closed,07/11/2019,7/22/2019,"Integrity, 3.05",,,
390,2019-0161,Milwaukee Police Department,Closed,07/12/2019,9/23/2019,"Restraint, 6.01",,,
391,2019-0162,Milwaukee Police Department,Closed,07/16/2019,11/5/2019,"Integrity, 3.03",,,
392,2019-0163,Milwaukee Police Department,Closed,07/09/2019,9/16/2019,"Integrity, 3.03",,,
393,2019-0164,Milwaukee Police Department,Closed,07/16/2019,9/23/2019,"Competence, 1.03","Integrity, 3.01",,
394,2019-0165,Milwaukee Police Department,Closed,07/18/2019,7/31/2019,"Respect, 5.01",,,
395,2019-0166,Milwaukee Police Department,Closed,07/18/2019,12/26/2019,"Competence, 1.04",,,
396,2019-0167,Milwaukee Police Department,Closed,06/27/2019,4/4/2020,"Respect, 5.01",,,
397,2019-0168,Milwaukee Police Department,Closed,08/05/2019,11/4/2019,"Restraint, 6.00",,,
398,2019-0169,NON EMPLOYEE,Closed,08/07/2019,8/15/2019,None,,,
399,2019-0170,Milwaukee Police Department,Closed,08/14/2019,11/15/2019,"Competence, 1.04",,,
400,2019-0171,Milwaukee Police Department,Closed,08/17/2019,11/14/2019,"Restraint, 6.00",,,
401,2019-0172,Milwaukee Police Department,Closed,08/19/2019,8/26/2019,"Restraint, 6.01",,,
402,2019-0173,Milwaukee Police Department,Closed,08/26/2019,9/16/2019,"Competence, 1.04","Respect, 5.01","Integrity, 3.03",
403,2019-0174,Milwaukee Police Department,Closed,8/29/2019,10/14/2019,"Competence, 1.03",,,
404,2019-0175,Milwaukee Police Department,Closed,07/02/2019,9/16/2019,"Competence, 1.04",,,
405,2019-0176,Milwaukee Police Department,Closed,08/30/2019,10/14/2019,"Competence, 1.04",,,
406,2019-0177,Milwaukee Police Department,Closed,09/04/2019,10/14/2019,"Competence, 1.04",,,
407,2019-0179,Milwaukee Police Department,Closed,09/09/2019,12/19/2019,"Restraint, 6.01",,,
408,2019-0180,Milwaukee Police Department,Closed,09/09/2019,9/30/2019,"Competence, 1.04 ",,,
409,2019-0181,Milwaukee Police Department,Closed,09/16/2019,12/3/2019,"Respect, 5.01",,,
410,2019-0182,Milwaukee Police Department,Closed,9/17/2019,5/7/2020,"Respect, 5.01","Integrity, 3.00",Unjustified Traffic Stop,
411,2019-0183,Milwaukee Police Department,Closed,09/24/2019,12/15/2020,"Competence, 1.05","Restraint, 6.01","Respect, 5.01","Integrity, 3.03"
412,2019-0184,Milwaukee Police Department,Closed,09/25/2019,10/28/2019,"Competence, 1.05","Competence, 1.04",,
2019 - Q4,,,,,,,,,
413,2019-0185,Milwaukee Police Department,Closed,10/01/2019,10/10/2019,"Competence, 1.04",,,
414,2019-0186,Milwaukee Police Department,Closed,10/4/2019,11/26/2019,Department Procedures,,,
415,2019-0187,Milwaukee Police Department,Closed,10/9/2019,10/21/2019,Department  Procedures,,,
416,2019-0188,Milwaukee Police Department,Closed,10/14/2019,10/14/2019,Discourtesy,,,
417,2019-0189,Milwaukee Police Department,Closed,10/14/2019,10/15/2019,Department  Services,,,
418,2019-0190,Milwaukee Police Department,Closed,10/16/2019,10/16/2019,Department  Services,,,
419,2019-0191,Milwaukee Police Department,Closed,10/16/2019,10/16/2019,Department  Services,,,
420,2019-0192,Milwaukee Police Department,Closed,10/21/2019,10/23/2019,Department  Services,,,
421,2019-0193,Milwaukee Police Department,Closed,10/18/2019,10/24/2019,Department  Procedures,,,
422,2019-0194,Milwaukee Police Department,Closed,10/23/2019,10/30/2019,Discourtesy,,,
423,2019-0195,Milwaukee Police Department,Closed,10/25/2019,10/25/2019,Discourtesy,Department  Procedures,Unjustified Traffic Stop,
424,2019-0196,Milwaukee Police Department,Closed,10/25/2019,11/21/2019,Department  Services,,,
425,2019-0197,Milwaukee Police Department,Closed,10/28/2019,10/28/2019,Department  Procedures,,,
426,2019-0198,Milwaukee Police Department,Closed,10/29/2019,1/22/2020,Department  Procedures,,,
427,2019-0199,Milwaukee Police Department,Closed,10/29/2019,10/29/2019,Department  Procedures,,,
428,2019-0200,Milwaukee Police Department,Closed,10/30/2019,10/30/2019,Department  Procedures,,,
429,2019-0201,Milwaukee Police Department,Closed,10/31/2019,11/11/2019,Use of Force,,,
430,2019-0202,Milwaukee Police Department,Closed,10/31/2019,11/21/2019,Department  Procedures,,,
431,2019-0203,Milwaukee Police Department,Closed,11/1/2019,11/1/2019,Department  Procedures,Unjustified Search,,
432,2019-0204,Milwaukee Police Department,Closed,11/5/2019,11/5/2019,Department  Services,,,
433,2019-0205,Milwaukee Police Department,Closed,11/11/2019,11/13/2019,Department  Procedures,Unjustified Search,,
434,2019-0206,Milwaukee Police Department,Closed,11/13/2019,11/14/2019,Department  Services,,,
435,2019-0207,Milwaukee Police Department,Closed,11/11/2019,2/14/2020,Department  Procedures,Department  Services,Discourtesy,Disparate Treatment
436,2019-0208,Milwaukee Police Department,Closed,11/14/2019,11/14/2019,Department  Procedures,Unjustified Search,,
437,2019-0209,Milwaukee Police Department,Closed,11/19/2019,12/30/2019,Department  Procedures,,,
438,2019-0210,NON EMPLOYEE,Closed,11/22/2019,11/22/2019,N/A,,,
439,2019-0211,Milwaukee Police Department,Closed,11/20/2019,11/22/2019,Department  Procedures,,,
440,2019-0212,Milwaukee Police Department,Closed,11/25/2019,12/20/2019,Department  Procedures,,,
441,2019-0213,Milwaukee Police Department,Closed,11/25/2019,12/12/2019,Department  Procedures,,,
442,2019-0214,Milwaukee Police Department,Closed,11/26/2019,11/26/2019,Department  Procedures,Unjustified Search,,
443,2019-0215,Milwaukee Police Department,Closed,12/3/2019,1/10/2020,Department  Procedures,,,
444,2019-0216,Milwaukee Police Department,Closed,12/9/2019,12/10/2019,Department  Services,,,
445,2019-0217,Milwaukee Police Department,Closed,12/9/2019,12/11/2020,Department  Procedures,,,
446,2019-0218,Milwaukee Police Department,Closed,12/3/2019,12/11/2019,Department  Procedures,,,
447,2019-0219,Milwaukee Police Department,Closed,12/12/2019,12/12/2019,Department  Procedures,,,
448,2019-0220,Milwaukee Police Department,Closed,12/12/2019,12/12/2019,Department  Procedures,,,
449,2019-0221,Milwaukee Police Department,Closed,12/13/2019,12/13/2019,Department  Procedures,Unjustified Traffic Stop,,
450,2019-0222,Milwaukee Police Department,Closed,12/16/2019,12/16/2019,Department  Procedures,Unjustified Traffic Stop,,
451,2019-0223,Milwaukee Police Department,Closed,12/17/2019,12/19/2019,Department  Procedures,,,
452,2019-0224,Milwaukee Police Department,Closed,12/18/2019,12/18/2019,Discourtesy,,,
453,2019-0225,Milwaukee Police Department,Closed,10/1/2019,10/10/2019,"Competence, 1.04 ",,,
454,2019-0226,Milwaukee Police Department,Closed,10/9/2019,4/17/2020,"Competence, 1.04","Competence, 1.05","Competence, 1.05 ","Respect, 5.01"
455,2019-0227,Milwaukee Police Department,Closed,10/10/2019,12/18/2019,"Integrity, 3.03",Unjustified Traffic Stop,,
456,2019-0228,Milwaukee Police Department,Closed,1/1/2019,10/8/2020,TEST,,,
457,2019-0229,Milwaukee Police Department,Closed,10/10/2019,12/20/2019,"Integrity, 3.05",,,
458,2019-0230,Milwaukee Police Department,Closed,10/15/2019,3/5/2020,"Integrity, 3.05",,,
459,2019-0231,Milwaukee Police Department,Closed,10/23/2019,3/8/2020,"Integrity, 3.05 ",,,
460,2019-0232,Milwaukee Police Department,Closed,10/14/2019,12/19/2019,"Restraint, 6.00",,,
461,2019-0233,Milwaukee Police Department,Closed,10/21/2019,1/27/2020,"Competence, 1.04",,,
462,2019-0234,Milwaukee Police Department,Closed,10/23/2019,4/4/2020,"Integrity, 3.01",,,
463,2019-0235,Milwaukee Police Department,Closed,10/8/2019,2/19/2020,"Competence, 1.04",,,
464,2019-0236,Milwaukee Police Department,Closed,10/28/2019,9/14/2020,"Integrity, 3.05",,,
465,2019-0237,Milwaukee Police Department,Closed,11/1/2019,4/22/2021,"Respect, 5.01",,,
466,2019-0238,Milwaukee Police Department,Closed,11/5/2019,12/19/2019,"Competence, 1.00","Respect, 5.00",,
467,2019-0239,Milwaukee Police Department,Closed,11/5/2019,1/15/2020,"Integrity, 3.10",,,
468,2019-0240,Milwaukee Police Department,Closed,11/6/2019,11/27/2019,"Competence, 1.00",,,
469,2019-0241,Milwaukee Police Department,Closed,11/7/2019,1/30/2020,"Respect, 5.00","Restraint, 6.00",,
470,2019-0242,Milwaukee Police Department,Closed,11/7/2019,1/6/2020,"Competence, 1.04 ",,,
471,2019-0243,Milwaukee Police Department,Closed,11/15/2019,3/1/2021,"Competence, 1.04",,,
472,2019-0244,Milwaukee Police Department,Closed,11/15/2019,11/24/2020,"Integrity, 3.01","Integrity, 3.05",,
473,2019-0245,Milwaukee Police Department,Closed,11/21/2019,1/21/2020,"Competence, 1.04","Competence, 1.04","Respect, 5.01",
474,2019-0246,Milwaukee Police Department,Closed,12/1/2019,2/5/2020,"Respect, 5.01",,,
475,2019-0247,Milwaukee Police Department,Closed,12/2/2019,1/27/2020,"Respect, 5.01",,,
476,2019-0248,Milwaukee Police Department,Closed,12/3/2019,3/30/2020,"Restraint, 6.01",,,
477,2019-0249,Milwaukee Police Department,Closed,12/4/2019,3/10/2020,"Integrity, 3.03",,,
478,2019-0250,Milwaukee Police Department,Closed,12/4/2019,3/31/2020,"Respect, 5.01",,,
479,2019-0251,Milwaukee Police Department,Closed,12/10/2019,3/4/2020,"Integrity, 3.05",,,
480,2019-0252,Milwaukee Police Department,Closed,12/12/2019,1/15/2020,"Integrity, 3.03","Integrity, 3.05 ",Unjustified Search,
481,2019-0253,Milwaukee Police Department,Closed,12/13/2019,2/27/2020,"Respect, 5.01",,,
482,2019-0254,Milwaukee Police Department,Closed,12/17/2019,5/22/2020,"Integrity, 3.05",,,
483,2019-0255,Milwaukee Police Department,Closed,12/18/2019,1/21/2020,"Integrity, 3.04","Competence, 1.05",,
484,2019-0256,Milwaukee Police Department,Closed,12/3/2019,1/15/2020,"Competence, 1.04 ",,,
485,2019-0257,Milwaukee Police Department,Closed,12/26/2019,1/30/2020,"Respect, 5.01",,,
2020 - Q1,,,,,,,,,
486,2020-0001,Milwaukee Police Department,Closed,1/6/2020,4/24/2020,Department Procedures,,,
487,2020-0002,Milwaukee Police Department,Closed,1/6/2020,3/10/2020,Use of Force,,,
488,2020-0003,Milwaukee Police Department,Closed,1/8/2020,1/9/2020,Department Procedures,,,
489,2020-0004,Non-Employee,Closed,1/15/2020,1/15/2020,Discourtesy,,,
490,2020-0005,Milwaukee Police Department,Closed,1/16/2020,2/13/2020,Discourtesy,,,
491,2020-0006,Milwaukee Police Department,Closed,1/16/2020,2/13/2020,Department Procedures,,,
492,2020-0007,Milwaukee Police Department,Closed,1/21/2020,1/27/2020,Discourtesy,,,
493,2020-0008,Milwaukee Police Department,Closed,1/23/2020,2/12/2020,Department Services,,,
494,2020-0009,Non-Employee,Closed,1/23/2020,1/29/2020,None,,,
495,2020-0010,Milwaukee Police Department,Closed,1/23/2020,1/27/2020,Department Procedures,,,
496,2020-0011,Non-Employee,Closed,1/16/2020,1/27/2020,None,,,
497,2020-0012,Milwaukee Police Department,Closed,1/30/2020,2/12/2020,Department Procedures,Unjustified Search,,
498,2020-0013,Milwaukee Police Department,Closed,2/3/2020,2/13/2020,Discourtesy,,,
499,2020-0014,Milwaukee Police Department,Closed,2/5/2020,2/6/2020,Department Procedures,,,
500,2020-0015,Non-Employee,Closed,2/11/2020,2/11/2020,None,,,
501,2020-0016,Milwaukee Police Department,Closed,2/12/2020,2/14/2020,Department Procedures,,,
502,2020-0017,Milwaukee Police Department,Closed,2/12/2020,2/24/2020,Department Services,,,
503,2020-0018,Milwaukee Police Department,Closed,2/11/2020,2/11/2020,None,,,
504,2020-0019,Milwaukee Police Department,Closed,2/10/2020,2/10/2020,None,,,
505,2020-0020,Milwaukee Police Department,Closed,2/10/2020,2/10/2020,None,,,
506,2020-0021,Milwaukee Police Department,Closed,2/6/2020,2/6/2020,Discourtesy,,,
507,2020-0022,Milwaukee Police Department,Closed,2/4/2020,2/4/2020,Department Services,,,
508,2020-0023,Milwaukee Police Department,Closed,1/29/2020,1/29/2020,Department Services,,,
509,2020-0024,Milwaukee Police Department,Closed,1/30/2020,1/30/2020,Department Services,,,
510,2020-0025,Milwaukee Police Department,Closed,1/29/2020,1/29/2020,,Unjustified Traffic Stop,,
511,2020-0026,Milwaukee Police Department,Closed,2/15/2020,2/17/2020,None,,,
512,2020-0027,Milwaukee Police Department,Closed,2/18/2020,2/19/2020,Department Services,,,
513,2020-0028,Milwaukee Police Department,Closed,2/24/2020,2/24/2020,Department Services,,,
514,2020-0029,Milwaukee Police Department,Closed,2/24/2020,2/24/2020,Department Services,,,
515,2020-0030,Milwaukee Police Department,Closed,2/25/2020,2/25/2020,Department Services,,,
516,2020-0031,Milwaukee Police Department,Closed,2/28/2020,3/5/2020,Department Procedures,,,
517,2020-0032,Non-Employee,Closed,2/26/2020,2/26/2020,None,,,
518,2020-0033,Milwaukee Police Department,Closed,3/2/2020,3/2/2020,Department Procedures,,,
519,2020-0034,Non-Employee,Closed,3/2/2020,3/2/2020,Discourtesy,,,
520,2020-0035,Milwaukee Fire Department,Closed,3/2/2020,3/2/2020,None,,,
521,2020-0036,Milwaukee Police Department,Closed,3/2/2020,3/2/2020,,Unjustified Search,,
522,2020-0037,Milwaukee Police Department,Closed,3/2/2020,4/27/2020,Department Services,,,
523,2020-0038,Milwaukee Police Department,Closed,3/4/2020,3/4/2020,Department Procedures,,,
524,2020-0039,Milwaukee Police Department,Closed,3/4/2020,3/4/2020,None,,,
525,2020-0040,Milwaukee Police Department,Closed,3/9/2020,3/5/2020,Department Procedures,,,
526,2020-0041,Milwaukee Fire Department,Closed,3/9/2020,3/9/2020,Department Procedures,,,
527,2020-0042,Milwaukee Police Department,Closed,3/9/2020,3/9/2020,Department Services,,,
528,2020-0043,Milwaukee Police Department,Closed,3/10/2020,3/10/2020,None,,,
529,2020-0044,Milwaukee Fire Department,Closed,3/11/2020,3/11/2020,None,,,
530,2020-0045,Milwaukee Police Department,Closed,3/12/2020,3/12/2020,Discourtesy,,,
531,2020-0046,Milwaukee Police Department,Closed,3/27/2020,5/8/2020,Department Procedures,,,
532,2020-0047,Milwaukee Police Department,Closed,3/27/2020,4/24/2020,Department Procedures,Unjustified Traffic Stop,,
533,2020-0048,Milwaukee Police Department,Closed,3/24/2020,4/24/2020,Department Procedures,Unjustified Traffic Stop,,
534,2020-0049,Non-Employee,Closed,3/30/2020,3/30/2020,None,,,
535,2020-0050,Milwaukee Police Department,Closed,1/1/2020,4/8/2020,"Competence, 1.05",,,
536,2020-0051,Milwaukee Police Department,Closed,1/6/2020,1/15/2020,"Competence, 1.04",,,
537,2020-0052,Milwaukee Police Department,Closed,1/6/2020,10/12/2020,"Integrity, 3.00",Unjustified Traffic Stop,Unjustified Search,
538,2020-0053,Milwaukee Police Department,Closed,1/7/2020,6/5/2020,"Competence, 1.00","Respect, 5.01",,
539,2020-0054,Milwaukee Police Department,Closed,1/8/2020,3/4/2020,"Competence, 1.04",,,
540,2020-0055,Milwaukee Police Department,Closed,1/10/2020,4/8/2020,"Integrity, 3.05",,,
541,2020-0056,Non-employee,Closed,1/15/2020,1/30/2020,None,,,
542,2020-0057,Milwaukee Police Department,Closed,1/16/2020,1/31/2020,"Competence, 1.05",,,
543,2020-0058,Milwaukee Police Department,Closed,1/21/2020,2/5/2020,"Competence, 1.05",,,
544,2020-0059,Milwaukee Police Department,Closed,1/21/2020,4/22/2020,"Respect, 5.01",,,
545,2020-0060,Milwaukee Police Department,Closed,1/30/2020,12/4/2020,"Integrity, 3.05",,,
546,2020-0061,Milwaukee Police Department,Closed,1/30/2020,3/19/2020,"Competence, 1.04",,,
547,2020-0062,Milwaukee Police Department,Closed,1/31/2020,5/22/2020,"Competence, 1.04","Competence, 1.05",,
548,2020-0063,Milwaukee Police Department,Closed,2/3/2020,1/28/2021,"Competence, 1.05","Integrity, 3.05",,
549,2020-0064,Milwaukee Police Department,Closed,2/3/2020,6/2/2020,"Integrity, 3.00",,,
550,2020-0065,Milwaukee Police Department,Closed,2/4/2020,6/4/2020,"Integrity, 3.05",,,
551,2020-0066,Milwaukee Police Department,Closed,2/5/2020,3/31/2020,"Integrity, 3.05","Integrity, 3.06",,
552,2020-0067,Milwaukee Police Department,Closed,2/8/2020,3/4/2020,"Competence, 1.05",,,
553,2020-0068,Milwaukee Police Department,Closed,2/11/2020,2/10/2022,"Restraint, 6.01 - Excessive use of force - Bodily",,,
554,2020-0069,Milwaukee Police Department,Closed,2/21/2020,3/5/2020,"Competence, 1.00",,,
555,2020-0070,Milwaukee Police Department,Closed,3/17/2020,8/11/2020,"Respect, 5.01 - FT be civil & courteous","Integrity, 3.01 - Behavior that could discredit the dept",,
556,2020-0071,Milwaukee Police Department,Closed,2/27/2020,3/13/2020,"Integrity, 3.03",,,
557,2020-0072,Milwaukee Police Department,Closed,3/3/2020,4/13/2020,"Competence, 1.00","Competence, 1.05",,
558,2020-0073,Milwaukee Police Department,Closed,3/3/2020,4/13/2020,"Integrity, 3.03",,,
559,2020-0074,Milwaukee Police Department,Closed,3/5/2020,7/2/2020,"Restraint, 6.00",,,
560,2020-0075,Milwaukee Police Department,Closed,3/5/2020,8/6/2020,"Competence, 1.04",,,
561,2020-0076,Milwaukee Police Department,Closed,3/10/2020,6/11/2020,"Competence, 1.04",,,
562,2020-0077,Milwaukee Police Department,Closed,3/10/2020,4/1/2020,"Competence, 1.05",,,
563,2020-0078,Milwaukee Police Department,Closed,3/11/2020,4/13/2020,"Competence, 1.04",,,
564,2020-0079,Milwaukee Police Department,Closed,3/12/2020,4/8/2020,"Integrity, 3.05",,,
565,2020-0080,Milwaukee Police Department,Closed,3/17/2020,8/11/2020,"Integrity, 3.05",,,
566,2020-0081,Milwaukee Police Department,Closed,3/19/2020,4/16/2020,"Competence, 1.03",,,
567,2020-0082,Milwaukee Police Department,Closed,3/19/2020,2/11/2021,"Integrity, 3.05",,,
568,2020-0083,Milwaukee Police Department,Closed,3/19/2020,10/21/2020,"Competence, 1.03",,,
569,2020-0084,Milwaukee Police Department,Closed,3/9/2020,3/26/2020,"Competence, 1.05",,,
570,2020-0085,Milwaukee Police Department,Closed,3/26/2020,4/16/2020,"Integrity, 3.05",,,
571,2020-0086,Milwaukee Police Department,Closed,3/27/2020,7/22/2020,"Integrity, 3.00",,,
572,2020-0087,Milwaukee Police Department,Closed,3/16/2020,5/7/2020,"Integrity, 3.05",,,
573,2020-0088,Milwaukee Police Department,Closed,3/27/2020,7/2/2020,"Respect, 5.01",,,
574,2020-0089,Milwaukee Police Department,Closed,3/31/2020,8/11/2020,"Respect, 5.01","Competence, 1.04",,
575,2020-0090,Milwaukee Police Department,Closed,3/4/2020,4/16/2020,"Integrity, 3.05",,,
2020 - Q2,,,,,,,,,
576,2020-0091,Milwaukee Police Department,Closed,4/2/2020,4/3/2020,Department Procedures,,,
577,2020-0092,Milwaukee Police Department,Closed,4/8/2020,8/7/2020,Department Procedures,Department Services,Discourtesy ,
578,2020-0093,Milwaukee Police Department,Closed,4/9/2020,4/9/2020,Department Procedures,Department Services,,
579,2020-0094,Milwaukee Police Department,Closed,4/9/2020,4/9/2020,Department Procedures,,,
580,2020-0095,Milwaukee Police Department,Closed,4/9/2020,4/9/2020,Department Procedures,Unjustified Search,,
581,2020-0096,Milwaukee Police Department,Closed,4/9/2020,4/9/2020,Department Procedures,,,
582,2020-0097,Milwaukee Fire Department,Closed,4/14/2020,4/14/2020,Department Procedures,Department Services,,
583,2020-0098,Milwaukee Police Department,Closed,4/24/2020,4/24/2020,Department Procedures,Unjustified Search,,
584,2020-0099,Milwaukee Police Department,Closed,5/5/2020,5/4/2020,None,,,
585,2020-0100,Milwaukee Police Department,Closed,5/6/2020,5/8/2020,Department Procedures,,,
586,2020-0101,Milwaukee Police Department,Closed,5/5/2020,5/5/2020,None,,,
587,2020-0102,Milwaukee Police Department,Closed,5/8/2020,5/27/2020,Department Procedures,,,
588,2020-0103,Non-Employee,Closed,5/18/2020,5/18/2020,None,,,
589,2020-0104,Milwaukee Police Department,Closed,5/18/2020,6/2/2020,Department Procedures,,,
590,2020-0105,Milwaukee Police Department,Closed,5/27/2020,5/27/2020,Department Procedures,,,
591,2020-0106,Milwaukee Police Department,Closed,5/29/2020,6/29/2020,Department Procedures,Department Services,,
592,2020-0107,Milwaukee Police Department,Closed,5/20/2020,5/20/2020,Discourtesy,,,
593,2020-0108,Milwaukee Police Department,Closed,6/1/2020,8/17/2020,Discourtesy,,,
594,2020-0109,Milwaukee Police Department,Closed,5/29/2020,5/29/2020,Department Procedures,,,
